capture_index,scene,demo_time_ms,render_frame,mae,rmse,psnr,changed_ratio,mean_luma_delta,max_channel_diff,diff_scope,bbox,java_frame_path,reference_frame_path
27,saari,108000,31435,47.7179,71.0941,11.0941,0.8313,-25.6483,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000027_t00108000_f031435.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000027_t00108000.png
28,saari,112001,32284,23.5843,38.3964,16.4450,0.6072,-16.1865,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000028_t00112001_f032284.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000028_t00112001.png
29,saari,116002,33138,10.7458,20.2545,22.0004,0.4051,1.6676,242,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000029_t00116002_f033138.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000029_t00116002.png
30,saari,120003,33986,31.4841,45.9826,14.8789,0.6669,24.1773,240,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000030_t00120003_f033986.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000030_t00120003.png
31,saari,124000,34825,61.0290,81.7925,9.8765,0.8735,-6.2518,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000031_t00124000_f034825.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000031_t00124000.png
32,saari,128002,35680,62.0172,85.0738,9.5349,0.8475,-27.9948,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000032_t00128002_f035680.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000032_t00128002.png
33,saari,132001,36523,31.0167,57.5348,12.9322,0.4980,-14.7908,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000033_t00132001_f036523.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000033_t00132001.png
34,saari,136004,37377,52.4288,76.1880,10.4931,0.8510,9.2383,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000034_t00136004_f037377.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000034_t00136004.png
35,saari,140002,38234,39.0539,63.8558,12.0268,0.6428,0.0686,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000035_t00140002_f038234.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000035_t00140002.png
36,saari,144002,39112,35.5487,56.9608,13.0193,0.5972,2.3604,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000036_t00144002_f039112.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000036_t00144002.png
37,saari,148002,40032,70.8497,98.0849,8.2988,0.8285,51.2049,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000037_t00148002_f040032.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000037_t00148002.png
38,saari,152004,41154,71.4946,89.6591,9.0789,0.8648,-67.2253,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000038_t00152004_f041154.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000038_t00152004.png
39,saari,156000,42277,61.3031,78.6108,10.2212,0.9449,-66.3567,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000039_t00156000_f042277.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000039_t00156000.png
40,kukot,160002,43379,7.1199,15.3302,24.4198,0.0990,2.1113,201,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000040_t00160002_f043379.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000040_t00160002.png
41,kukot,164002,44501,8.3783,20.1561,22.0427,0.1148,2.4752,222,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000041_t00164002_f044501.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000041_t00164002.png
42,kukot,168002,45628,14.2080,33.7550,17.5640,0.1672,5.1450,229,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000042_t00168002_f045628.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000042_t00168002.png
43,kukot,172002,46737,11.7850,31.8598,18.0659,0.1262,-0.9620,232,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000043_t00172002_f046737.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000043_t00172002.png
44,kukot,176000,47797,24.9805,46.6600,14.7519,0.4360,3.9484,242,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000044_t00176000_f047797.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000044_t00176000.png
45,kukot,180002,48837,56.6947,71.9833,10.9862,0.9953,25.7593,254,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000045_t00180002_f048837.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000045_t00180002.png
46,kukot,184000,49961,28.6475,42.7864,15.5047,0.7962,-12.9702,234,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000046_t00184000_f049961.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000046_t00184000.png
47,kukot,188002,51115,8.7841,23.3088,20.7804,0.0934,3.8140,239,global,"0,0,511,253",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000047_t00188002_f051115.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000047_t00188002.png
48,kukot,192000,52230,29.8253,62.7688,12.1759,0.3059,8.3688,238,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000048_t00192000_f052230.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000048_t00192000.png
49,kukot,196002,53377,21.1066,33.7391,17.5681,0.6051,-7.6707,245,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000049_t00196002_f053377.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000049_t00196002.png
50,kukot,200000,54500,28.7533,47.5040,14.5962,0.5984,10.2913,248,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000050_t00200000_f054500.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000050_t00200000.png
51,kukot,204000,55623,33.0603,68.2171,11.4529,0.2901,-13.4930,238,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000051_t00204000_f055623.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000051_t00204000.png
52,maku,208002,56575,109.8717,132.7838,5.6679,0.9413,83.3097,244,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000052_t00208002_f056575.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000052_t00208002.png
53,maku,212002,57535,101.0849,116.5156,6.8031,0.8839,96.8360,254,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000053_t00212002_f057535.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000053_t00212002.png
54,maku,216000,58514,112.1661,132.7232,5.6719,0.7784,-107.4509,252,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000054_t00216000_f058514.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000054_t00216000.png
55,maku,220000,59397,88.2572,111.0842,7.2178,0.8446,29.0140,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000055_t00220000_f059397.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000055_t00220000.png
56,maku,224000,60300,70.2400,97.7185,8.3313,0.7156,15.5112,254,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000056_t00224000_f060300.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000056_t00224000.png
57,maku,228005,61116,106.3973,131.7636,5.7349,0.8727,48.4231,254,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000057_t00228005_f061116.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000057_t00228005.png
58,watercube,232000,62083,125.7393,147.1117,4.7779,0.8758,-110.4693,251,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000058_t00232000_f062083.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000058_t00232000.png
59,watercube,236001,63233,94.7694,126.4824,6.0902,0.8472,-33.0276,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000059_t00236001_f063233.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000059_t00236001.png
60,watercube,240000,64352,78.0472,114.6499,6.9433,0.6870,-51.0619,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000060_t00240000_f064352.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000060_t00240000.png
61,watercube,244002,65474,36.9504,61.7398,12.3195,0.4833,19.9402,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000061_t00244002_f065474.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000061_t00244002.png
62,watercube,248002,66588,51.0315,74.1181,10.7323,0.6654,27.5042,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000062_t00248002_f066588.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000062_t00248002.png
63,watercube,252000,67709,83.9213,114.8903,6.9251,0.7834,-17.0968,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000063_t00252000_f067709.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000063_t00252000.png
64,feta,256000,68844,92.7643,116.5706,6.7990,0.9122,2.4313,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000064_t00256000_f068844.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000064_t00256000.png
65,feta,260000,69982,58.1331,76.6017,10.4460,0.8405,8.9661,254,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000065_t00260000_f069982.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000065_t00260000.png
66,feta,264000,71111,60.1120,80.0618,10.0623,0.8342,-7.1589,254,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000066_t00264000_f071111.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000066_t00264000.png
67,feta,268002,72255,75.0228,90.6460,8.9838,0.9306,-37.0146,254,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000067_t00268002_f072255.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000067_t00268002.png
68,feta,272002,73394,50.9449,71.0267,11.1024,0.7161,-8.2427,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000068_t00272002_f073394.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000068_t00272002.png
69,feta,276000,74528,70.3208,89.4386,9.1003,0.8572,-23.3577,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000069_t00276000_f074528.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000069_t00276000.png
70,uppol,280002,75669,40.0937,56.2400,13.1299,0.8930,-38.6610,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000070_t00280002_f075669.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000070_t00280002.png
71,uppol,284000,76861,12.8480,34.3438,17.4138,0.4766,0.9379,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000071_t00284000_f076861.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000071_t00284000.png
72,uppol,288001,78052,13.9082,37.8932,16.5596,0.4563,0.1747,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000072_t00288001_f078052.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000072_t00288001.png
73,uppol,292002,79251,14.0838,39.3775,16.2258,0.4388,0.2922,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000073_t00292002_f079251.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000073_t00292002.png
74,uppol,296001,80433,13.1520,37.0945,16.7446,0.4334,0.5364,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000074_t00296001_f080433.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000074_t00296001.png
75,uppol,300001,81621,16.6635,43.5969,15.3417,0.4879,0.1138,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000075_t00300001_f081621.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000075_t00300001.png
